Release date,Title,Notes
1930s–1940s,1930s–1940s,1930s–1940s
Release date,Title,Notes
21-Dec-37,Snow White and the Seven Dwarfs,first film to be distributed by RKO Radio PicturesInducted into the National Film Registry in 1989
7-Feb-40,Pinocchio,Inducted into the National Film Registry in 1994
13-Nov-40,Fantasia,anthology filmInducted into the National Film Registry in 1990
20-Jun-41,The Reluctant Dragon,fictionalized tour around the Disney studio
23-Oct-41,Dumbo,Inducted into the National Film Registry in 2017
21-Aug-42,Bambi,Inducted into the National Film Registry in 2011
6-Feb-43,Saludos Amigos,anthology film
17-Jul-43,Victory Through Air Power,documentary film with wide use of animation; distributed by United Artists
3-Feb-45,The Three Caballeros,anthology film
20-Apr-46,Make Mine Music,anthology film
12-Nov-46,Song of the South,
27-Sep-47,Fun and Fancy Free,anthology film
27-May-48,Melody Time,anthology film
29-Nov-48,So Dear to My Heart,
5-Oct-49,The Adventures of Ichabod and Mr. Toad,anthology film
1950s,1950s,1950s
Release date,Title,Notes
15-Feb-50,Cinderella,Inducted into the National Film Registry in 2018
29-Jul-50,Treasure Island,produced by RKO-Walt Disney British Productions
28-Jul-51,Alice in Wonderland,
26-Jun-52,The Story of Robin Hood,produced by RKO-Walt Disney British Productions
5-Feb-53,Peter Pan,
23-Jul-53,The Sword and the Rose,produced by RKO-Walt Disney British Productions
10-Nov-53,The Living Desert,first film to be distributed by Buena Vista Pictures Distribution
27-Feb-54,Rob Roy: The Highland Rogue,produced by RKO-Walt Disney British Productions; last film to be distributed by RKO Radio Pictures
16-Aug-54,The Vanishing Prairie,
23-Dec-54,"20,000 Leagues Under the Sea",
25-May-55,Davy Crockett: King of the Wild Frontier,compilation film mostly made up from pre-existing footage from the Disney anthology television series
22-Jun-55,Lady and the Tramp,Inducted into the National Film Registry in 2023.
14-Sep-55,The African Lion,
22-Dec-55,The Littlest Outlaw,
8-Jun-56,The Great Locomotive Chase,
18-Jul-56,Davy Crockett and the River Pirates,compilation film mostly made up from pre-existing footage from the Disney anthology television series
6-Nov-56,Secrets of Life,
20-Dec-56,Westward Ho the Wagons!,
19-Jun-57,Johnny Tremain,
28-Aug-57,Perri,
25-Dec-57,Old Yeller,Inducted into the National Film Registry in 2019
8-Jul-58,The Light in the Forest,
12-Aug-58,White Wilderness,
25-Dec-58,Tonka,
29-Jan-59,Sleeping Beauty,Inducted into the National Film Registry in 2019
19-Mar-59,The Shaggy Dog,
26-Jun-59,Darby O'Gill and the Little People,
10-Nov-59,Third Man on the Mountain,
1960s,1960s,1960s
Release date,Title,Notes
21-Jan-60,Toby Tyler or 10 Weeks with a Circus,
24-Feb-60,Kidnapped,
19-May-60,Pollyanna,
11-Jun-60,The Sign of Zorro,released in European theaters in 1958
10-Aug-60,Jungle Cat,
1-Nov-60,Ten Who Dared,
21-Dec-60,Swiss Family Robinson,
25-Jan-61,One Hundred and One Dalmatians,
16-Mar-61,The Absent-Minded Professor,
21-Jun-61,The Parent Trap,
12-Jul-61,Nikki: Wild Dog of the North,
17-Jul-61,Greyfriars Bobby,
14-Dec-61,Babes in Toyland,
5-Apr-62,Moon Pilot,
17-May-62,Bon Voyage!,
6-Jun-62,Big Red,
26-Sep-62,Almost Angels,
7-Nov-62,The Legend of Lobo,
21-Dec-62,In Search of the Castaways,
16-Jan-63,Son of Flubber,
29-Mar-63,Miracle of the White Stallions,
1-Jun-63,Savage Sam,
7-Jul-63,Summer Magic,
20-Nov-63,The Incredible Journey,
25-Dec-63,The Sword in the Stone,
12-Mar-64,A Tiger Walks,
25-Mar-64,The Misadventures of Merlin Jones,
4-Jun-64,The Three Lives of Thomasina,
8-Jul-64,The Moon-Spinners,
29-Aug-64,Mary Poppins,winner of the Golden Globe Award for Best Motion Picture – Musical or Comedy and nominee of the Academy Award for Best PictureInducted into the National Film Registry in 2013
10-Nov-64,Those Calloways,
18-Dec-64,Emil and the Detectives,
18-Aug-65,The Monkey's Uncle,
2-Dec-65,That Darn Cat!,
16-Feb-66,The Ugly Dachshund,
29-Jul-66,"Lt. Robin Crusoe, U.S.N.",
1-Oct-66,The Fighting Prince of Donegal,
1-Dec-66,"Follow Me, Boys!","last film released by Walt Disney Productions during the lifetime of Walt Disney, who died two weeks later"
8-Feb-67,"Monkeys, Go Home!",
8-Mar-67,The Adventures of Bullwhip Griffin,
19-Jul-67,The Gnome-Mobile,
18-Oct-67,The Jungle Book,
"Charlie, the Lonesome Cougar",,
30-Nov-67,The Happiest Millionaire,
8-Feb-68,Blackbeard's Ghost,
21-Mar-68,"The One and Only, Genuine, Original Family Band","last film with personal involvement from Walt Disney, who died during production"
26-Jun-68,Never a Dull Moment,
20-Dec-68,The Horse in the Gray Flannel Suit,
13-Mar-69,The Love Bug,
21-Mar-69,Smith!,
11-Jun-69,Rascal,
24-Dec-69,The Computer Wore Tennis Shoes,
1970s,1970s,1970s
Release date,Title,Notes
11-Feb-70,King of the Grizzlies,
1-Jul-70,The Boatniks,
15-Dec-70,The Wild Country,
24-Dec-70,The Aristocats,"last animated film with personal involvement from Walt Disney, who died during production"
17-Mar-71,The Barefoot Executive,
22-Jun-71,Scandalous John,
30-Jun-71,The Million Dollar Duck,
13-Dec-71,Bedknobs and Broomsticks,
22-Mar-72,The Biscuit Eater,
12-Jul-72,"Now You See Him, Now You Don't",
19-Jul-72,Napoleon and Samantha,
18-Oct-72,"Run, Cougar, Run",
22-Dec-72,Snowball Express,
1-Feb-73,The World's Greatest Athlete,
23-Mar-73,Charley and the Angel,
20-Jun-73,One Little Indian,
8-Nov-73,Robin Hood,
14-Dec-73,Superdad,
6-Jun-74,Herbie Rides Again,
31-Jul-74,The Bears and I,
1-Aug-74,The Castaway Cowboy,
20-Dec-74,The Island at the Top of the World,
6-Feb-75,The Strongest Man in the World,
21-Mar-75,Escape to Witch Mountain,
1-Jul-75,The Apple Dumpling Gang,
9-Jul-75,One of Our Dinosaurs Is Missing,
8-Oct-75,The Best of Walt Disney's True-Life Adventures,compilation film made up of highlights from the True-Life Adventures series
25-Dec-75,Ride a Wild Pony,
5-Feb-76,"No Deposit, No Return",
1-Jul-76,Treasure of Matecumbe,
7-Jul-76,Gus,
17-Dec-76,The Shaggy D.A.,
Freaky Friday,,
11-Mar-77,The Littlest Horse Thieves,released in European theaters in 1976; also known as Escape from the Dark
The Many Adventures of Winnie the Pooh,"anthology film, last animated short films with personal involvement from Walt Disney",
22-Jun-77,The Rescuers,
24-Jun-77,Herbie Goes to Monte Carlo,
3-Nov-77,Pete's Dragon,
16-Dec-77,Candleshoe,
10-Mar-78,Return from Witch Mountain,
9-Jun-78,The Cat from Outer Space,
5-Jul-78,Hot Lead and Cold Feet,
9-Feb-79,The North Avenue Irregulars,
27-Jun-79,The Apple Dumpling Gang Rides Again,
26-Jul-79,Unidentified Flying Oddball,
21-Dec-79,The Black Hole,
1980s,1980s,1980s
Release date,Title,Notes
8-Feb-80,Midnight Madness,
17-Apr-80,The Watcher in the Woods,
25-Jun-80,Herbie Goes Bananas,
The Last Flight of Noah's Ark,,
12-Dec-80,Popeye,international distribution only; co-production with Paramount Pictures and King Features
6-Mar-81,The Devil and Max Devlin,
20-Mar-81,Amy,
26-Jun-81,Dragonslayer,international distribution only; co-production with Paramount Pictures; international distribution handled by Buena Vista International
10-Jul-81,The Fox and the Hound,
7-Aug-81,Condorman,
5-Feb-82,Night Crossing,
9-Jul-82,Tron,co-production with Lisberger/Kushner Productions
30-Jul-82,Tex,
11-Mar-83,Trenchcoat,uncredited
29-Apr-83,Something Wicked This Way Comes,co-production with The Bryna Company; last film as Walt Disney Productions
7-Oct-83,Never Cry Wolf,co-production with Amarok Productions Ltd.; first film as Walt Disney Pictures
21-Jun-85,Return to Oz,co-production with Silver Screen Partners II
24-Jul-85,The Black Cauldron,co-production with Walt Disney Productions and Silver Screen Partners II
27-Sep-85,The Journey of Natty Gann,co-production with Silver Screen Partners II
22-Nov-85,One Magic Christmas,co-production with Silver Screen Partners II and Telefilm Canada
2-Jul-86,The Great Mouse Detective,co-production with Walt Disney Feature Animation and Silver Screen Partners II
